,chr,indexStart,indexEnd,L,p.value
2371,chr6,145114,145123,10,1.32E-05
700,chr2,50934,50934,1,6.29E-05
2401,chr6,152361,152374,14,5.85E-05
1579,chr12,290005,290012,8,9.39E-05
76,chr1,20072,20079,8,0.000106809
1728,chr15,342281,342281,1,0.000189233
997,chr5,136750,136751,2,0.000145826
902,chr4,107245,107245,1,0.000238736
1877,chr17,389556,389556,1,0.000338961
707,chr2,53409,53409,1,0.000358226
2505,chr7,180527,180528,2,0.000247759
331,chr12,305247,305247,1,0.000581843
2154,chr22,453014,453014,1,0.000665973
1149,chr7,192350,192351,2,0.000445283
683,chr2,45304,45309,6,0.000394804
1039,chr6,152758,152762,5,0.000447478
1584,chr12,291447,291456,10,0.000436748
2200,chr3,92210,92210,1,0.000905197
972,chr5,125401,125401,1,0.000998838
809,chr22,446318,446318,1,0.001020785
2646,chr8,228404,228404,1,0.001085164
2146,chr22,452019,452027,9,0.000629395
1170,chr7,206192,206192,1,0.001155882
2674,chr9,233624,233626,3,0.000745715
1514,chr11,267763,267770,8,0.000661584
1382,chr1,34182,34182,1,0.001185877
1442,chr10,244114,244122,9,0.000665242
2372,chr6,145839,145843,5,0.0007979
2368,chr5,144568,144571,4,0.00076693
1248,chr8,227371,227374,4,0.00078717
1157,chr7,195284,195287,4,0.000799607
2145,chr22,451890,451892,3,0.00087569
2596,chr8,210083,210086,4,0.000879836
2074,chr2,74051,74052,2,0.001115158
1250,chr8,227635,227637,3,0.000924706
514,chr17,377153,377155,3,0.000955919
92,chr1,27442,27446,5,0.001001033
2100,chr20,438436,438436,1,0.001566537
855,chr3,88912,88914,3,0.001051511
2284,chr4,120167,120167,1,0.001683589
2335,chr5,132745,132750,6,0.00103054
1241,chr8,226156,226157,2,0.001278786
13,chr1,1647,1648,2,0.001326094
505,chr17,374505,374506,2,0.001339994
980,chr5,130422,130422,1,0.001783814
1715,chr14,338161,338161,1,0.001789423
1523,chr11,272413,272415,3,0.00122026
2413,chr6,155764,155767,4,0.001107111
1311,chr1,3273,3275,3,0.001233673
2673,chr9,233621,233623,3,0.001258058
2555,chr7,199420,199422,3,0.001260253
2581,chr7,207210,207211,2,0.001574341
2236,chr4,103823,103825,3,0.001387302
2480,chr6,171631,171634,4,0.001332191
1058,chr6,159627,159628,2,0.001664812
249,chr11,276491,276491,1,0.002157159
1066,chr6,160001,160002,2,0.001754551
1362,chr1,24470,24473,4,0.001702122
2417,chr6,155814,155815,2,0.001938419
522,chr17,378288,378293,6,0.001681394
194,chr10,260317,260318,2,0.00208766
1580,chr12,290785,290785,1,0.002301035
1848,chr17,381318,381318,1,0.002334931
2411,chr6,155285,155289,5,0.002022794
532,chr17,381340,381344,5,0.002085709
2028,chr2,57943,57943,1,0.002514897
2672,chr9,233620,233620,1,0.002586591
2190,chr3,89752,89752,1,0.002644385
2502,chr6,179864,179864,1,0.002793138
2225,chr3,101588,101591,4,0.002300303
2404,chr6,152702,152705,4,0.002337613
2435,chr6,159824,159827,4,0.002405893
59,chr1,15512,15515,4,0.002454177
1112,chr7,181180,181182,3,0.0024076
1834,chr17,375076,375077,2,0.002631217
2297,chr5,122100,122101,2,0.002673892
1889,chr17,397790,397791,2,0.002709007
1495,chr10,260447,260447,1,0.002944817
85,chr1,25143,25143,1,0.003134538
805,chr22,445696,445696,1,0.00329402
1109,chr7,179904,179904,1,0.003305482
1856,chr17,382832,382836,5,0.002635119
257,chr11,279487,279490,4,0.002529773
114,chr1,37234,37237,4,0.002566595
83,chr1,24942,24944,3,0.002557328
1217,chr8,215553,215555,3,0.002778994
944,chr4,121622,121622,1,0.00352032
1182,chr7,207791,207791,1,0.003578358
1876,chr17,389225,389230,6,0.002189104
2421,chr6,156864,156869,6,0.00224763
1513,chr11,267752,267757,6,0.002696083
1167,chr7,204348,204352,5,0.004042417
1222,chr8,217992,217994,3,0.002883853
1593,chr12,293852,293854,3,0.003023339
2586,chr8,208649,208651,3,0.003260124
882,chr3,101585,101585,1,0.003752715
2072,chr2,73844,73847,4,0.003206232
1081,chr6,165639,165639,1,0.004409422
2451,chr6,160778,160778,1,0.00459329
1645,chr13,315594,315594,1,0.004619139
2471,chr6,168513,168513,1,0.004785937
533,chr17,381855,381855,1,0.004994191
638,chr19,419083,419083,1,0.005037354
270,chr11,283020,283020,1,0.00509271
2726,chrX,463652,463652,1,0.005146602
88,chr1,26613,26613,1,0.00542533
1908,chr18,406282,406282,1,0.005502633
1439,chr10,243295,243295,1,0.005597006
1043,chr6,152840,152840,1,0.005771607
878,chr3,100093,100096,4,0.003792464
2120,chr21,442189,442192,4,0.00429359
1068,chr6,160758,160761,4,0.004363333
511,chr17,376660,376663,4,0.004424785
1398,chr1,41338,41341,4,0.004449659
2039,chr2,63156,63159,4,0.004500869
1884,chr17,395515,395518,4,0.004660107
1088,chr6,167861,167864,4,0.004913231
2584,chr7,208400,208403,4,0.005326325
891,chr4,103512,103515,4,0.005468005
305,chr12,291860,291862,3,0.00341668
827,chr22,453406,453409,4,0.006246397
2729,chrY,464478,464480,3,0.003693458
1418,chr10,239061,239063,3,0.003711991
746,chr2,71807,71809,3,0.004017056
1069,chr6,160763,160765,3,0.004194097
1359,chr1,22575,22577,3,0.004231163
1227,chr8,222046,222048,3,0.004270668
642,chr19,421689,421691,3,0.004364553
87,chr1,26493,26495,3,0.004382354
1651,chr13,316565,316568,4,0.007107212
933,chr4,118517,118520,4,0.007136719
113,chr1,36635,36638,4,0.007297908
2546,chr7,195912,195915,4,0.007666376
138,chr10,239113,239116,4,0.007703686
562,chr17,389237,389239,3,0.004962734
1980,chr19,429299,429301,3,0.005136116
1801,chr16,362087,362090,4,0.008119219
417,chr15,340052,340054,3,0.005604322
1854,chr17,382259,382262,4,0.008432087
1412,chr1,44739,44741,3,0.005775265
1560,chr11,287373,287376,4,0.008756173
1260,chr9,229562,229564,3,0.006274684
2479,chr6,171444,171446,3,0.006359791
422,chr15,341187,341189,3,0.006660954
2333,chr5,132270,132272,3,0.006797514
2135,chr22,447604,447607,4,0.009255105
286,chr12,289043,289045,3,0.007244504
295,chr12,290316,290319,4,0.009711605
124,chr1,41836,41838,3,0.008206763
2443,chr6,159858,159860,3,0.008663995
1844,chr17,380087,380089,3,0.008962964
2300,chr5,122975,122977,3,0.009083673
1629,chr12,309820,309822,3,0.009328749
45,chr1,10939,10941,3,0.009712093
674,chr19,429225,429227,3,0.009793297
2111,chr21,441328,441329,2,0.003204037
2189,chr3,89750,89751,2,0.003247688
2167,chr3,81401,81403,3,0.01032393
1480,chr10,257528,257530,3,0.010627044
1070,chr6,160768,160770,3,0.010809205
926,chr4,115964,115965,2,0.003671755
885,chr4,102380,102382,3,0.01144177
651,chr19,424072,424074,3,0.011624419
516,chr17,377672,377673,2,0.003958287
2110,chr20,441024,441025,2,0.004274569
1045,chr6,153338,153340,3,0.012886379
1983,chr19,429329,429331,3,0.013035864
2433,chr6,159816,159818,3,0.013113166
612,chr19,408905,408907,3,0.013330687
1404,chr1,43197,43199,3,0.013649408
815,chr22,448489,448491,3,0.013721346
1964,chr19,425702,425704,3,0.013763533
2150,chr22,452663,452664,2,0.004716194
1193,chr8,209052,209054,3,0.01394862
886,chr4,102384,102385,2,0.004776671
1688,chr14,330065,330066,2,0.005039305
2078,chr2,76541,76542,2,0.005061496
1684,chr14,327047,327049,3,0.014705552
353,chr13,314134,314136,3,0.014769931
445,chr16,354421,354422,2,0.005107829
840,chr3,82997,82999,3,0.015408348
1775,chr16,355231,355233,3,0.015935323
1724,chr15,341085,341087,3,0.016135042
57,chr1,15367,15369,3,0.016271358
