,Unnamed: 0,chr,start,end,n,p.value
0,1,chr6,161595,161614,20,0.00029551400000000003
1,2,chr6,161589,161594,6,0.004286653
2,3,chr6,152003,152022,20,0.0009320810000000001
3,4,chr6,152002,152002,1,0.019047207
4,5,chr6,152023,152032,10,0.026125488
5,6,chr6,151104,151118,15,0.001992054
6,7,chr6,151101,151101,1,0.017138636000000002
7,8,chr6,151099,151099,1,0.03719281
8,9,chr6,151100,151100,1,0.050068472999999995
9,10,chr6,151102,151102,1,0.131239656
10,11,chr6,151103,151103,1,0.566908222
11,12,chr5,140976,140976,1,9.49e-06
12,13,chr5,140972,140975,4,0.00028192099999999997
13,14,chr5,140971,140971,1,0.02534457
14,15,chr5,140977,140981,5,0.000226351
15,16,chr5,140982,140982,1,0.012760318
16,17,chr17,377233,377238,6,9.91e-06
17,18,chr17,377232,377232,1,0.000226073
18,19,chr17,377230,377231,2,0.000841488
19,20,chr12,290009,290009,1,1.0199999999999999e-05
20,21,chr12,290007,290007,1,3.3e-05
21,22,chr12,290005,290006,2,0.000168755
22,23,chr12,290004,290004,1,0.013864166
23,24,chr12,290008,290008,1,8.27e-05
24,25,chr12,290010,290010,1,3.02e-05
25,26,chr12,290011,290011,1,8.77e-05
26,27,chr12,290012,290012,1,0.000597775
27,28,chr2,48723,48724,2,0.0038227609999999996
28,29,chr2,48721,48721,1,0.008933453000000001
29,30,chr2,48722,48722,1,0.124565384
30,31,chr2,48725,48725,1,0.007727657
31,32,chr2,48728,48729,2,0.010297203000000001
32,33,chr2,48726,48727,2,0.04301805
33,34,chr2,48730,48730,1,0.020876515
34,35,chr10,244167,244170,4,2.16e-06
35,36,chr10,244172,244172,1,1.15e-05
36,37,chr10,244171,244171,1,0.000373626
37,38,chr10,244173,244173,1,0.000208307
38,39,chr10,244174,244174,1,0.034061157
39,40,chr8,226361,226361,1,0.000250958
40,41,chr8,226354,226357,4,0.000831589
41,42,chr8,226359,226360,2,0.001316434
42,43,chr8,226358,226358,1,0.002889278
43,44,chrX,458673,458674,2,0.00010174799999999999
44,45,chrX,458672,458672,1,0.003364818
45,46,chrX,458676,458678,3,0.000192367
46,47,chrX,458675,458675,1,0.006979704000000001
47,48,chrX,458679,458679,1,0.002829624
48,49,chr11,284883,284883,1,0.005947338000000001
49,50,chr11,284881,284882,2,0.031412981
50,51,chr11,284885,284888,4,0.011951778
51,52,chr11,284884,284884,1,0.024734912999999997
52,53,chr12,291447,291448,2,4.04e-05
53,54,chr12,291451,291451,1,0.00523397
54,55,chr12,291450,291450,1,0.009683333
55,56,chr12,291449,291449,1,0.028167225
56,57,chr12,291454,291454,1,0.005696989
57,58,chr12,291453,291453,1,0.032796304
58,59,chr12,291452,291452,1,0.06459717
59,60,chr12,291455,291455,1,0.014702573
60,61,chr4,103512,103512,1,0.001096316
61,62,chr4,103511,103511,1,0.00512452
62,63,chr4,103513,103513,1,0.002514433
63,64,chr4,103514,103517,4,0.00528017
64,65,chr6,152168,152169,2,0.002301201
65,66,chr6,152165,152165,1,0.013076738000000001
66,67,chr6,152166,152166,1,0.044041872999999995
67,68,chr6,152167,152167,1,0.28290390600000004
68,69,chr6,152176,152177,2,0.003732981
69,70,chr6,152171,152172,2,0.056309994
70,71,chr6,152170,152170,1,0.22678194100000001
71,72,chr6,152174,152174,1,0.148530976
72,73,chr6,152173,152173,1,0.9380430390000001
73,74,chr6,152175,152175,1,0.534648343
74,75,chr6,152180,152180,1,0.0076660930000000006
75,76,chr6,152178,152178,1,0.065499358
76,77,chr6,152179,152179,1,0.172533491
77,78,chr11,276867,276872,6,0.013809621000000001
78,79,chr11,276864,276866,3,0.032184107999999996
79,80,chr14,332299,332300,2,0.00261681
80,81,chr14,332295,332295,1,0.0076348909999999996
81,82,chr14,332298,332298,1,0.02967005
82,83,chr14,332297,332297,1,0.087344238
83,84,chr14,332296,332296,1,0.34697165799999996
84,85,chr14,332303,332303,1,0.0027076970000000002
85,86,chr14,332302,332302,1,0.015345583000000001
86,87,chr14,332301,332301,1,0.024589082999999998
87,88,chr15,347739,347740,2,0.003376622
88,89,chr15,347737,347738,2,0.035686062000000005
89,90,chr15,347741,347743,3,0.006843337
90,91,chr17,380084,380088,5,0.001059184
91,92,chr17,380082,380083,2,0.016706261
92,93,chr17,380089,380089,1,0.041295204
93,94,chr6,152704,152712,9,0.00045305
94,95,chr6,152699,152699,1,0.007243714
95,96,chr6,152702,152702,1,0.017566404
96,97,chr6,152700,152701,2,0.314288308
97,98,chr6,152703,152703,1,0.09775193800000001
98,99,chr6,172265,172267,3,0.000251908
99,100,chr6,172262,172262,1,0.0019179260000000001
100,101,chr6,172263,172264,2,0.012957584
101,102,chr6,172268,172268,1,0.009785997
102,103,chr10,260908,260910,3,0.000334527
103,104,chr10,260913,260913,1,0.00041771
104,105,chr10,260911,260911,1,0.000779603
105,106,chr10,260912,260912,1,0.0038244340000000003
106,107,chr13,313453,313460,8,0.000334315
107,108,chr2,57074,57079,6,0.002994982
108,109,chr6,155831,155832,2,0.007788001
109,110,chr6,155830,155830,1,0.042375197999999996
110,111,chr6,155838,155838,1,0.011045817
111,112,chr6,155836,155836,1,0.047479857
112,113,chr6,155834,155834,1,0.047755009
