,chr,indexStart,indexEnd,L,p.value
5871,chr17,399059,399059,1,2.16E-05
6867,chr19,430839,430849,11,2.11E-05
15778,chr1,38026,38032,7,2.11E-05
11172,chr6,152757,152762,6,2.11E-05
11143,chr6,152013,152023,11,2.47E-05
10139,chr5,125725,125740,16,3.14E-05
10527,chr5,136010,136021,12,3.36E-05
2006,chr10,259756,259774,19,3.45E-05
8494,chr22,449564,449574,11,3.58E-05
8684,chr3,81183,81201,19,3.60E-05
11246,chr6,158954,158972,19,3.77E-05
12238,chr7,192978,192988,11,6.44E-05
30257,chr6,152354,152369,16,6.61E-05
2763,chr12,288930,288932,3,7.54E-05
2117,chr11,264348,264360,13,8.35E-05
739,chr1,24948,24957,10,8.30E-05
2254,chr11,268735,268747,13,8.96E-05
8018,chr20,433186,433193,8,9.55E-05
1936,chr10,257407,257416,10,9.60E-05
10203,chr5,127903,127911,9,0.000102624
6737,chr19,427797,427807,11,0.000101889
3834,chr14,325854,325864,11,0.000102869
11190,chr6,153176,153187,12,0.000105318
13238,chr8,227371,227374,4,0.000114135
4231,chr14,338294,338295,2,0.000122708
738,chr1,24941,24946,6,0.000118544
30375,chr6,155768,155774,7,0.000121728
6858,chr19,430665,430675,11,0.000136424
6896,chr2,45304,45309,6,0.000138873
2034,chr10,261028,261033,6,0.000140832
13226,chr8,226929,226937,9,0.000144506
12016,chr7,186815,186826,12,0.000141812
8457,chr22,448164,448174,11,0.00014671
3602,chr13,318629,318631,3,0.000153323
9390,chr4,105720,105732,13,0.000143526
20425,chr14,327991,327991,1,0.000256437
13966,chrX,462924,462936,13,0.000153079
1109,chr1,38684,38692,9,0.000165325
30430,chr6,157931,157942,12,0.000159692
30261,chr6,152419,152430,12,0.000161896
3704,chr13,320740,320748,9,0.000169489
1935,chr10,257360,257367,8,0.000168999
11412,chr6,167261,167270,10,0.000167529
6821,chr19,430110,430116,7,0.000164345
11163,chr6,152730,152735,6,0.000173897
3532,chr13,316565,316568,4,0.000183939
5271,chr17,377197,377206,10,0.000179531
6634,chr19,424534,424542,9,0.000191287
3844,chr14,325908,325918,11,0.000181735
8118,chr20,436027,436039,13,0.000176102
2288,chr11,269079,269090,12,0.000187123
22815,chr17,391644,391650,7,0.000193981
19610,chr12,310259,310260,2,0.000233659
6122,chr18,405336,405342,7,0.00019692
5927,chr18,401480,401485,6,0.000202798
25581,chr2,77314,77314,1,0.00033065
26353,chr22,452019,452027,9,0.000216269
7509,chr2,65233,65238,6,0.000222148
12272,chr7,194498,194507,10,0.00021431
9452,chr4,107352,107358,7,0.000219943
7546,chr2,65945,65953,9,0.000227046
12825,chr8,214704,214711,8,0.0002317
13603,chrX,453644,453645,2,0.000265499
12518,chr7,204268,204278,11,0.000222637
1932,chr10,257297,257306,10,0.000222882
543,chr1,19906,19915,10,0.000225821
10320,chr5,130671,130673,3,0.000236843
10497,chr5,135653,135660,8,0.000241007
4252,chr15,339481,339487,7,0.000239047
2434,chr11,276255,276265,11,0.000234639
10003,chr4,121244,121251,8,0.000244436
11455,chr6,168542,168553,12,0.000225332
11705,chr6,174872,174877,6,0.000255702
550,chr1,20072,20079,8,0.000261091
2004,chr10,259747,259751,5,0.000267214
4226,chr14,338161,338161,1,0.000421272
8014,chr20,433073,433079,7,0.000270398
13640,chrX,454788,454793,6,0.000282644
8116,chr20,436013,436023,11,0.000258152
12560,chr7,205546,205553,8,0.000274072
11375,chr6,166256,166265,10,0.000265744
2548,chr11,281536,281544,9,0.000272602
3737,chr13,321742,321748,7,0.000299544
12912,chr8,217186,217195,10,0.000279215
2697,chr11,286911,286916,6,0.000309096
10244,chr5,129065,129070,6,0.000311056
2317,chr11,269933,269936,4,0.00029783
75,chr1,3960,3966,7,0.000312525
8586,chr22,453404,453409,6,0.000315219
6529,chr19,420750,420757,8,0.000309341
11538,chr6,169974,169981,8,0.00031473
5427,chr17,383960,383960,1,0.000504547
11624,chr6,172182,172190,9,0.000320118
9106,chr3,96007,96014,8,0.000339222
