,chr,length,start,end,p
0,chr8,2,208481,208482,0.01
1,chr8,1,208484,208484,0.01
2,chr8,1,208486,208486,0.01
3,chr8,1,208488,208488,0.01
4,chr8,1,208492,208492,0.01
5,chr8,1,208494,208494,0.01
6,chr8,1,208499,208499,0.01
7,chr8,1,208506,208506,0.01
8,chr8,1,208517,208517,0.01
9,chr8,1,208521,208521,0.01
10,chr8,1,208533,208533,0.01
11,chr8,1,208557,208557,0.01
12,chr8,1,208562,208562,0.01
13,chr8,1,208570,208570,0.01
14,chr8,3,208573,208575,0.01
15,chr8,1,208580,208580,0.01
16,chr8,1,208583,208583,0.01
17,chr8,1,208594,208594,0.01
18,chr8,1,208597,208597,0.01
19,chr8,1,208621,208621,0.01
20,chr8,1,208624,208624,0.01
21,chr8,1,208634,208634,0.01
22,chr8,1,208645,208645,0.01
23,chr8,4,208670,208673,0.01
24,chr8,1,208733,208733,0.01
25,chr8,1,208750,208750,0.01
26,chr8,1,208762,208762,0.01
27,chr8,1,208775,208775,0.01
28,chr8,1,208785,208785,0.01
29,chr8,3,208792,208794,0.01
30,chr8,1,208829,208829,0.01
31,chr8,1,208831,208831,0.01
32,chr8,1,208837,208837,0.01
33,chr8,1,208845,208845,0.01
34,chr8,2,208856,208857,0.01
35,chr8,1,208859,208859,0.01
36,chr8,1,208870,208870,0.01
37,chr8,1,208873,208873,0.01
38,chr8,1,208880,208880,0.01
39,chr8,1,208886,208886,0.01
40,chr8,1,208901,208901,0.01
41,chr8,1,208907,208907,0.01
42,chr8,2,208912,208913,0.01
43,chr8,2,208920,208921,0.01
44,chr8,1,208926,208926,0.01
45,chr8,1,208933,208933,0.01
46,chr8,1,208935,208935,0.01
47,chr8,1,208943,208943,0.01
48,chr8,1,208949,208949,0.01
49,chr8,1,208955,208955,0.01
50,chr8,2,208962,208963,0.01
51,chr8,2,208965,208966,0.01
52,chr8,1,208969,208969,0.01
53,chr8,1,208972,208972,0.01
54,chr8,1,208978,208978,0.01
55,chr8,1,208981,208981,0.01
56,chr8,1,208995,208995,0.01
