"","chr","start","end","value","area","cluster","indexStart","indexEnd","L","clusterL","p.value","fwer","p.valueArea","fwerArea"
"866","chr6",291687,293285,-0.0603608860412156,0.603608860412156,152887,145114,145123,10,10,0.000142879473226585,0.434,0.000361961332174015,0.732
"223","chr8",146228246,146228246,0.146311248084855,0.146311248084855,185521,228404,228404,1,20,0.000647720278627185,0.772,0.0156337009935619,1
"16","chr1",174992693,174992693,0.145689546948105,0.145689546948105,14214,34182,34182,1,11,0.000662863060405045,0.781,0.0157939213943083,1
"314","chr1",248100345,248101009,-0.0491583550900931,0.393266840720745,19215,44738,44745,8,13,0.000631600543186237,0.87,0.00127590148399261,0.97
"148","chr3",129830295,129830295,0.137123439917578,0.137123439917578,129857,93901,93901,1,11,0.000940806377553513,0.875,0.0181571723053176,1
"142","chr22",50609145,50609145,0.135572227909867,0.135572227909867,122230,453014,453014,1,19,0.000997958166844147,0.882,0.0186190271495423,1
"862","chr5",179740743,179741120,-0.0671514918620236,0.268605967448095,152699,144568,144571,4,4,0.000974267040514268,0.935,0.00349798259068572,0.999
"75","chr15",43398338,43398338,0.113795758833136,0.113795758833136,63366,342281,342281,1,10,0.0024841489268164,0.99,0.0283580339784484,1
"205","chr7",76221076,76221076,0.112126720401714,0.112126720401714,170396,194248,194248,1,1,0.00267123555329771,0.994,0.0294326830078449,1
"633","chr19",55587193,55587193,-0.111002552903256,0.111002552903256,97631,429284,429284,1,5,0.00280141462890415,0.995,0.0301729696460497,1
"101","chr17",47075281,47075281,0.10791043748499,0.10791043748499,82791,389556,389556,1,13,0.00321368907472719,0.996,0.0323181156517746,1
"216","chr8",216578,216788,0.0552182660343828,0.220873064137531,176425,208481,208484,4,4,0.00235958733477271,0.998,0.00571908674371575,1
"161","chr5",1594282,1594678,0.0395904854868136,0.197952427434068,143106,123517,123521,5,12,0.00417061518772165,0.999,0.00751643724538145,1
"233","chrX",153046386,153046577,0.0391137674564536,0.195568837282268,194889,463806,463810,5,9,0.00427954552115593,0.999,0.00774992917085943,1
"119","chr2",30669597,30669863,0.0573584387237044,0.172075316171113,100806,50570,50572,3,12,0.00380059398782716,0.999,0.0105386434021434,1
"974","chr7",76145280,76145562,-0.059871700762668,0.119743401525336,170391,194232,194233,2,4,0.00636412039976944,0.999,0.0249181801307164,1
"51","chr12",739980,740338,0.0506270605259393,0.151881181577818,40544,288930,288932,3,3,0.0066865151085884,1,0.0142688967262283,1
"405","chr12",4919081,4919230,-0.0501952831037492,0.150585849311248,41025,290009,290011,3,11,0.00694809445188015,1,0.014579812229506,1
"239","chr1",3105151,3105252,-0.0465852025587204,0.139755607676161,1076,3273,3275,3,4,0.00960369874656845,1,0.01736852646079,1
"861","chr5",176797920,176798049,-0.0462350904345434,0.13870527130363,152146,143255,143257,3,3,0.00992389530964546,1,0.0176765111030784,1
"111","chr19",29218101,29218302,0.0417539469038648,0.125261840711594,93777,418739,418741,3,7,0.0149906212448344,1,0.0223277874930392,1
"232","chrX",145701257,145701413,0.0399474039911455,0.119842211973437,194563,462998,463000,3,4,0.0175504840805401,1,0.0248673785402358,1
"189","chr6",41068646,41068722,0.0395359257403665,0.1186077772211,157474,164395,164397,3,10,0.0181447161461132,1,0.0255153430572788,1
"18","chr1",205818956,205819179,0.039056339685585,0.117169019056755,16070,38026,38028,3,10,0.0188654637110562,1,0.0263171777762581,1
"127","chr2",240174613,240174659,0.0387708449244288,0.116312534773286,113057,76483,76485,3,3,0.0193126642503346,1,0.0268300784493791,1
"320","chr10",6183455,6183575,-0.0376038023067744,0.112811406920323,20169,239988,239990,3,3,0.0210755771353765,1,0.0289879248527242,1
"68","chr14",70317075,70317239,0.0368265808528709,0.110479742558613,58157,330397,330399,3,9,0.0222178802059418,1,0.0305339540245606,1
"888","chr6",30686922,30687197,-0.0351276763822622,0.105383029146787,155877,154854,154856,3,88,0.0243197960120751,1,0.0341056966168095,1
"999","chr7",149470820,149470820,-0.101186628218709,0.101186628218709,174854,204213,204213,1,8,0.00427148565343546,1,0.0371581883371272,1
"52","chr12",6982822,6982822,0.0988305572883604,0.0988305572883604,41313,290785,290785,1,10,0.00475019294834846,1,0.0389374651960258,1
"597","chr17",80708513,80708632,-0.0461461801867126,0.0922923603734251,86889,400356,400357,2,4,0.0228682871071425,1,0.0445830361765941,1
"488","chr14",102415401,102415401,-0.090903686735704,0.090903686735704,60646,335871,335871,1,8,0.00693881339208081,1,0.0460772868042869,1
"57","chr12",99039019,99039019,0.0905163573689195,0.0905163573689195,46688,303031,303031,1,25,0.00706215379204564,1,0.0465083676081243,1
"91","chr16",31021933,31021933,0.0890152815763916,0.0890152815763916,72058,362534,362534,1,7,0.00760802665129593,1,0.0483284322824568,1
"404","chr12",4918391,4918848,-0.0440650201773514,0.0881300403547027,41025,290006,290007,2,11,0.0286232768979767,1,0.0494802606512373,1
"113","chr19",46975072,46975138,0.044060963512592,0.088121927025184,95967,424804,424805,2,10,0.0286386639181704,1,0.0494932052872732,1
"100","chr17",45056325,45056325,0.0874366473481704,0.0874366473481704,82465,388531,388531,1,14,0.00821642454498383,1,0.050414472591565,1
"64","chr13",50194554,50194643,0.0431345243619754,0.0862690487239507,52410,316896,316897,2,2,0.0316757686182944,1,0.0520894596469289,1
"124","chr2",167232679,167232679,0.0859775753414574,0.0859775753414574,108270,66094,66094,1,10,0.00883508045213416,1,0.0525229828349241,1
"114","chr19",51107558,51107560,0.0425163602994504,0.0850327205989008,96854,427168,427169,2,7,0.0338897898572671,1,0.0540284684297424,1
"55","chr12",10096118,10096152,0.0423858326928205,0.084771665385641,41637,291593,291594,2,5,0.0343843726492052,1,0.0544607704256587,1
"206","chr7",90895894,90896329,0.0423556165068325,0.084711233013665,170902,195284,195285,2,9,0.0345023398040231,1,0.0545604196992937,1
"596","chr17",79905263,79905263,-0.0835425672605845,0.0835425672605845,86591,399429,399429,1,5,0.00999838802645591,1,0.0565770962983226,1
"380","chr11",65562214,65562214,-0.0820775876657602,0.0820775876657602,34863,275810,275810,1,5,0.0107848357252416,1,0.0593093914555633,1
"951","chr6",171036378,171036378,-0.0812852649536784,0.0812852649536784,164476,179864,179864,1,1,0.0112366767944196,1,0.0608954757275862,1
"43","chr11",58869855,58869855,0.0810275487307672,0.0810275487307672,33702,272413,272413,1,6,0.0113981183872449,1,0.0614401273947577,1
"110","chr19",13875014,13875111,0.0402168990267667,0.0804337980535334,92492,415136,415137,2,12,0.0436031516525171,1,0.0627189597397395,1
"204","chr7",76145672,76145672,0.0801943793076094,0.0801943793076094,170391,194235,194235,1,4,0.011922742504323,1,0.0632323488896922,1
"107","chr19",613433,613505,0.0400759551003873,0.0801519102007746,89495,406987,406988,2,4,0.0442730976269795,1,0.0633268691565959,1
"172","chr5",180597400,180597642,0.0397008357315367,0.0794016714630735,152831,144921,144922,2,8,0.0460702038902295,1,0.0649769438935511,1
"563","chr17",25936354,25936354,-0.0793855000826656,0.0793855000826656,79899,381855,381855,1,1,0.0124290487402183,1,0.0650182201858166,1
"848","chr5",131827807,131827918,-0.0393333768193845,0.078666753638769,148599,135044,135045,2,2,0.0478912455182251,1,0.0666910090954386,1
"69","chr14",93698053,93698216,0.0385164369800184,0.0770328739600368,59701,333613,333614,2,8,0.0522181732920408,1,0.0708066706396116,1
"54","chr12",10095902,10095997,0.0384520540483871,0.0769041080967741,41637,291590,291591,2,5,0.0525723189949101,1,0.0711532449515919,1
"492","chr14",106916597,106916953,-0.0382702394546756,0.0765404789093513,61610,338294,338295,2,4,0.0535548901415606,1,0.07211920788597,1
"177","chr6",29895175,29895187,0.0382214071917271,0.0764428143834543,155676,152784,152785,2,33,0.0538218427299993,1,0.072381519944509,1
"182","chr6",32063874,32063901,0.0379257197144773,0.0758514394289546,156220,158722,158723,2,68,0.0554567746851767,1,0.0739978897800877,1
"505","chr15",66947568,66947617,-0.0378428109968347,0.0756856219936693,65047,345951,345952,2,5,0.0559315741654373,1,0.0744521732334235,1
"65","chr13",78493066,78493066,0.0752753011556313,0.0752753011556313,53248,318502,318502,1,49,0.0156798620541428,1,0.0756101075625983,1
"577","chr17",56082780,56082867,-0.0376115580965022,0.0752231161930044,83505,391202,391203,2,21,0.0572050332652722,1,0.075759337234635,1
"36","chr11",970389,970664,0.0371532230186876,0.0743064460373752,29555,262160,262161,2,2,0.0598813978253011,1,0.0784921208687072,1
"812","chr4",90757351,90757378,-0.0370704375539414,0.0741408751078828,138684,113702,113703,2,21,0.0603642571732823,1,0.0789964731972762,1
"894","chr6",31780526,31780562,-0.0365872383686214,0.0731744767372429,156135,157449,157450,2,38,0.0631813030607958,1,0.0819642141873211,1
"787","chr4",967324,967327,-0.0363101178233077,0.0726202356466153,134062,103119,103120,2,10,0.064791811174396,1,0.0837090534295958,1
"81","chr15",78441641,78441641,0.0716178420059064,0.0716178420059064,66311,348623,348623,1,13,0.019478257896228,1,0.0869268945573911,1
"525","chr16",2801914,2801952,-0.0356071502877805,0.071214300575561,69419,356525,356526,2,14,0.0688598462274934,1,0.0882728924667103,1
"609","chr19",10077935,10077935,-0.0705177391008926,0.0705177391008926,91769,412932,412932,1,1,0.0208635781904864,1,0.0906065905294112,1
"534","chr16",23850106,23850404,-0.0350979890570701,0.0701959781141401,71278,360604,360605,2,2,0.0717274494670718,1,0.0916863685655389,1
"1061","chr9",124989915,124990165,-0.03493756677672,0.06987513355344,188692,233624,233625,2,8,0.0726277122676071,1,0.0927986303109643,1
"198","chr7",1003645,1003710,0.0348759011320487,0.0697518022640975,164785,180761,180762,2,3,0.072968424857609,1,0.0932196973397552,1
"402","chr12",3333872,3333872,-0.0692291802427476,0.0692291802427476,40863,289591,289591,1,3,0.0226306431285964,1,0.0950312136695357,1
"939","chr6",144386422,144386457,-0.0345268123788166,0.0690536247576332,162067,174363,174364,2,26,0.0748461297980637,1,0.0956332613644135,1
"350","chr10",112260509,112260867,-0.0340225857244723,0.0680451714489447,26763,254471,254472,2,2,0.0774255317070311,1,0.0991412577301459,1
"1045","chr8",126508947,126508947,-0.0679514480453788,0.0679514480453788,183536,223715,223715,1,1,0.0245970066139763,1,0.0994743989292588,1
"735","chr3",39450018,39450364,-0.0338119653595956,0.0676239307191913,124606,82734,82735,2,2,0.0784432731855528,1,0.100606932463193,1
"286","chr1",161569954,161569954,-0.0674545673683811,0.0674545673683811,13408,32443,32443,1,1,0.0254127629226546,1,0.101166482673727,1
"77","chr15",60290666,60290666,0.0672148132502181,0.0672148132502181,64365,344533,344533,1,1,0.0258133139245206,1,0.101998602956262,1
"116","chr19",54385441,54385441,0.0669435205433921,0.0669435205433921,97410,428710,428710,1,11,0.0263010580408171,1,0.102946003771041,1
