,Unnamed: 0,chr,start,end,n,p.value
0,1,chr11,263515,263515,1,5.550000000000001e-09
1,2,chr11,263511,263513,3,6.41e-07
2,3,chr11,263498,263504,7,7.22e-06
3,4,chr11,263491,263492,2,0.000345967
4,5,chr11,263494,263494,1,0.019050616
5,6,chr11,263493,263493,1,0.8870172040000001
6,7,chr11,263497,263497,1,0.032481205
7,8,chr11,263496,263496,1,0.164379319
8,9,chr11,263495,263495,1,0.67738296
9,10,chr11,263510,263510,1,0.000130731
10,11,chr11,263507,263509,3,0.000931905
11,12,chr11,263505,263506,2,0.005678877
12,13,chr11,263514,263514,1,0.00026953299999999997
13,14,chr11,263516,263516,1,2.7600000000000004e-07
14,15,chr11,263528,263534,7,4.69e-07
15,16,chr11,263518,263518,1,2.35e-06
16,17,chr11,263517,263517,1,0.002081448
17,18,chr11,263524,263524,1,5.15e-05
18,19,chr11,263519,263519,1,0.001448396
19,20,chr11,263521,263521,1,0.0045413779999999996
20,21,chr11,263520,263520,1,0.364765385
21,22,chr11,263522,263522,1,0.07366658200000001
22,23,chr11,263523,263523,1,0.9488619979999999
23,24,chr11,263525,263525,1,0.006426708000000001
24,25,chr11,263527,263527,1,0.022988347000000003
25,26,chr11,263526,263526,1,0.048199412000000004
26,27,chr11,263535,263536,2,0.000369065
27,28,chr11,263538,263541,4,0.0009790060000000001
28,29,chr11,263537,263537,1,0.263626193
29,30,chr11,263542,263542,1,0.005844187
30,31,chr10,259748,259749,2,1.23e-10
31,32,chr10,259747,259747,1,1.72e-06
32,33,chr10,259744,259744,1,5.14e-06
33,34,chr10,259743,259743,1,8.36e-05
34,35,chr10,259745,259746,2,0.008262259000000001
35,36,chr10,259762,259763,2,4.35e-09
36,37,chr10,259751,259753,3,1.59e-08
37,38,chr10,259750,259750,1,5.13e-07
38,39,chr10,259758,259758,1,4.2e-07
39,40,chr10,259756,259756,1,6.67e-06
40,41,chr10,259754,259755,2,6.36e-05
41,42,chr10,259757,259757,1,0.00219146
42,43,chr10,259760,259761,2,5.03e-07
43,44,chr10,259759,259759,1,0.000846849
44,45,chr10,259782,259782,1,4.26e-08
45,46,chr10,259769,259778,10,1.0099999999999999e-07
46,47,chr10,259764,259767,4,4.46e-06
47,48,chr10,259768,259768,1,0.00013538799999999999
48,49,chr10,259779,259780,2,1.56e-05
49,50,chr10,259781,259781,1,0.002242626
50,51,chr10,259784,259786,3,0.000778386
51,52,chr10,259783,259783,1,0.39146710799999995
52,53,chr4,118389,118411,23,1.48e-08
53,54,chr4,118384,118384,1,2.48e-08
54,55,chr4,118379,118383,5,5.24e-05
