"","chr","start","end","value","area","cluster","indexStart","indexEnd","L","clusterL","p.value","fwer","p.valueArea","fwerArea"
"2735","chr12",7781004,7781431,-0.100534716510801,0.502673582554006,41394,291077,291081,5,6,0.000366648972808145,0.083,0.00970941889969351,0.74
"3919","chr8",143751796,143751801,-0.105084757652368,0.210169515304735,184795,226156,226157,2,11,0.00052551054543161,0.308,0.0343945620416335,1
"2114","chr7",27169957,27170755,0.0488955166472536,0.488955166472536,167094,187177,187186,10,32,0.00588406759898859,0.57,0.0102290347671057,0.771
"507","chr12",2944163,2944480,0.0673634618652191,0.336817309326096,40809,289475,289479,5,7,0.00662060761751556,0.646,0.0187321078101242,0.965
"2547","chr10",3172479,3172479,-0.123753473136767,0.123753473136767,19848,239323,239323,1,9,0.000556752338934555,0.654,0.0674439585592346,1
"1755","chr5",1594282,1594808,0.0531751131244637,0.42540090499571,143106,123517,123524,8,12,0.00913910880131428,0.678,0.0131348162967805,0.858
"43","chr1",24229232,24229682,0.0644684104214819,0.32234205210741,4548,10975,10979,5,6,0.00813612933630936,0.713,0.01986889646617,0.975
"2378","chr1",11046185,11046185,-0.114938674019245,0.114938674019245,2646,6878,6878,1,1,0.00101683195835056,0.792,0.07474127521338,1
"1481","chr22",24384294,24384525,0.054380811781778,0.380665682472446,119881,447210,447216,7,13,0.0106428411640692,0.794,0.0156777803943599,0.923
"1723","chr4",165878037,165878219,0.0567479694074378,0.340487816444627,141290,119102,119107,6,9,0.0110427950676871,0.811,0.0184633104924385,0.961
"1940","chr6",29894050,29894197,0.0600169843389513,0.300084921694756,155676,152758,152762,5,33,0.0110286478404405,0.815,0.0218810448081002,0.986
"1941","chr6",29942706,29942706,0.108783597925013,0.108783597925013,155685,152840,152840,1,48,0.00156857382096861,0.894,0.0801119163568768,1
"440","chr11",67383545,67384040,0.0479241733916328,0.335469213741429,35289,277244,277250,7,8,0.0140028076351407,0.897,0.0188296647313456,0.966
"1383","chr2",241562085,241562757,0.0477174209886875,0.286304525932125,113313,77119,77124,6,6,0.0171773864825012,0.942,0.0232530311171211,0.989
"3755","chr7",1266180,1267228,-0.0591034953134649,0.23641398125386,164908,181249,181252,4,9,0.0141142170497078,0.944,0.0296534725106112,0.999
"1379","chr2",240174613,240174659,0.0672678297024371,0.201803489107311,113057,76483,76485,3,3,0.00997467941056757,0.958,0.0362269227039713,1
"2063","chr6",170532633,170532835,0.0670936160987985,0.201280848296396,164366,179558,179560,3,3,0.0101043623269949,0.959,0.0363457004660627,1
"1789","chr5",68710808,68711277,0.0454092202231009,0.272455321338605,145911,129579,129584,6,9,0.0187214973896892,0.96,0.0247947841531013,0.991
"395","chr11",5617273,5617926,0.0364882843151864,0.255417990206305,30483,265209,265215,7,9,0.0169525045160602,0.96,0.026894173729719,0.998
"1972","chr6",32633157,32633163,0.0722769870945747,0.144553974189149,156387,159859,159860,2,17,0.00892218465019949,0.971,0.055107281666284,1
"2986","chr16",30485383,30485684,-0.0563452319556379,0.225380927822552,71905,362087,362090,4,6,0.0168923788002621,0.972,0.0314728648813062,1
"19","chr1",7841722,7842406,0.0490681572856802,0.245340786428401,2012,5588,5592,5,5,0.0205904050557474,0.977,0.0282926860898272,0.998
"1883","chr5",179740743,179741120,0.0556378043394348,0.222551217357739,152699,144568,144571,4,4,0.0176775499124493,0.977,0.0319854071350951,1
"1964","chr6",32064206,32064258,0.0424167392678373,0.254500435607024,156220,158729,158734,6,68,0.0203537337332676,0.981,0.0270011621357715,0.998
"1325","chr2",158114069,158114424,0.042282588192975,0.25369552915785,107875,65329,65334,6,6,0.0204147436507686,0.981,0.0271096242113289,0.998
"1631","chr3",196325238,196325552,0.0629222386236621,0.188766715870986,133632,101903,101905,3,3,0.0138374619166958,0.982,0.0394162382463805,1
"3851","chr8",2122339,2122339,-0.0964624890298186,0.0964624890298186,177037,210105,210105,1,2,0.00379440424110294,0.982,0.0915658652164187,1
"3323","chr22",39784769,39784982,-0.0622318410604631,0.186695523181389,121076,450283,450285,3,6,0.0145448232790266,0.983,0.039952948680049,1
"2115","chr7",27170832,27170994,0.0463943612553042,0.231971806276521,167094,187188,187192,5,32,0.0233284829957697,0.986,0.0303667285509614,0.999
"248","chr10",530714,531152,0.0401194939143977,0.240716963486386,19412,238125,238130,6,21,0.0211716203084626,0.987,0.0289850160232085,0.999
"1480","chr22",24384105,24384135,0.0678904898991482,0.135780979798296,119881,447206,447207,2,13,0.0125424011558285,0.991,0.0594439962851739,1
